Company,num_leaves,learning_rate,feature_fraction,min_data_in_leaf,lambda_l2,min_gain_to_split
AAPL.O,75,0.06321728551180052,0.7001730060413672,41,0.017823588080398935,0.368291930229865
ADBE.O,40,0.040401328519164274,0.8574363165641052,19,0.0025703834231343065,0.23365812827753984
ADI.O,98,0.03433221253589202,0.6695943277630263,53,0.0006776426408618022,0.40830105861621185
ADSK.O,127,0.06410910249255251,0.69090771999478,100,0.08917344329298071,0.4816086035730053
AMAT.O,52,0.019148709045406085,0.9228147964680113,28,0.00010393781283539765,0.3608908574046399
AMD.O,29,0.05322350486584945,0.6392568572129712,48,0.012190542115627147,0.4175741614815336
ANSS.O,86,0.043678169366527124,0.6505087698750943,54,0.514694595828501,0.1320666098316993
APP.O,107,0.07076144113113517,0.7160727289641663,19,0.0020221163824936184,0.002008841054755503
ASML.O,128,0.06766204841642304,0.7955038287145647,91,1.625898996647871,0.26947164142635943
AVGO.O,89,0.0931101359346104,0.9744187783289726,10,0.007218793827787199,0.4772328321177139
CDNS.O,77,0.05224869131040795,0.9384503090891679,41,0.005359143223370982,0.26068083749097587
CDW.O,46,0.09699705957945347,0.6422037603106926,37,1.8978266562879436,0.16551084875889643
CRWD.O,79,0.03414399483669895,0.9978296854711285,44,3.33265381549389,0.38256695129369855
CTSH.O,116,0.025706300587987667,0.9977483203255156,11,0.01740949791443903,0.007220296054994288
DASH.O,111,0.09677899982640732,0.846548288619122,100,0.0219362101459709,0.20777322280431218
DDOG.O,111,0.09040550509502673,0.9681795545172727,12,0.00015609012131383808,0.36255940734673786
FTNT.O,112,0.04054865713570036,0.6451239806043713,91,0.009925499165513496,0.3278276724577127
GFS.O,89,0.03630371462911618,0.8973016976519729,27,0.49460728246433944,0.2365102419168763
GOOG.O,80,0.0688504259168358,0.8193455814239794,47,0.0004629623527951406,0.25955398725269235
GOOGL.O,88,0.009087586461978372,0.918322480928164,43,0.128005220715515,0.10767116742848601
INTC.O,73,0.008324238548750697,0.820128097453913,34,0.12305189499534865,0.28555449452034315
INTU.O,43,0.034240699868837696,0.9237738120707315,100,8.293579434997659,0.2415018759789218
KLAC.O,21,0.09933832242979787,0.8504921904262255,44,0.002555024508836988,0.49941586708462404
LRCX.O,114,0.057696450189307275,0.7812954505401981,42,0.0029684300188412512,0.28705859683394974
MCHP.O,32,0.03992973428032526,0.8197644408282969,10,0.01639723161837855,0.3912664494272765
MDB.O,83,0.007299204759955688,0.6890647090736638,29,8.14943510828534,0.33292643689014645
META.O,59,0.04523915539121591,0.7574380866972925,26,0.006052884951438997,0.35058370993110977
MRVL.O,123,0.09697357315453486,0.9867037794982598,34,0.00015408107073584123,0.20328844443264535
MSFT.O,118,0.00955109526079286,0.8880212727393593,17,0.00019235420442541916,0.13828462298197708
MSTR.O,28,0.04621698348568092,0.9361259379481728,77,0.8519989433394093,0.24116126825343948
MU.O,47,0.03568989156429832,0.84711563915083,10,0.23753262539793188,0.10443955298911445
NVDA.O,85,0.05293135675543335,0.7044912343620917,15,0.03461200814225654,0.4972250484855934
NXPI.O,39,0.06786336125723667,0.9658717778733744,39,0.000876048079786142,0.2174730567034269
ON.O,126,0.09779347656032783,0.743122533687406,43,0.0030637096484770108,0.0010468655914447726
PANW.O,109,0.0916634564484708,0.8672892389349953,34,6.641745107371404,0.42758108562370734
PDD.O,73,0.09880808561166825,0.7694009767601411,56,0.02985235034789603,0.13821052432539105
PLTR.O,69,0.09428048920722215,0.8529118419862087,54,0.00048582034066852825,0.08745506886012955
QCOM.O,47,0.032860785688955264,0.6325468381319214,27,0.217663840199431,0.15376810013182418
ROP.O,108,0.005859942484076801,0.6034795865538041,88,0.0008257445158926824,0.03782234558979641
SNPS.O,74,0.014208881631879711,0.7310861355439047,13,0.56367327605084,0.48239508207397247
TEAM.O,69,0.009787661500051727,0.6494199547418955,47,0.8987011494953743,0.19917640311746704
TXN.O,105,0.0242875370803217,0.7149987785904869,60,0.0003261309671811653,0.10331890927403241
WDAY.O,60,0.09390442426048443,0.8449713417982085,48,0.09692327439217359,0.339413737981919
ZS.O,29,0.0066536119378603304,0.6981307781638025,21,0.00023003034516711236,0.39668737641003704
